feature,score,min,max,n_null,n_gt1w
x98,287,-1.0,100.0,130,0,numeric
x76,285,-1.0,71.85,19,0,numeric
x34,285,-1.0,34.47,19,0,numeric
x763,282,-1,74565,19,192,numeric
x734,282,-1,57114,19,128,numeric
x986,282,-1,122,19,0,numeric
x219,282,-1.0,42.86,131,0,numeric
x359,281,0.0,1134854.0,0,9358,numeric
x511,281,-1,677179,19,91,numeric
x825,280,-1,52934,19,32,numeric
x546,280,-1,351,3900,0,numeric
x229,279,-1.0,34.76,19,0,numeric
x995,278,-1,973,19,0,numeric
x173,278,-1.0,35.29,19,0,numeric
x91,277,-1.0,60.06,83,0,numeric
x771,276,-1,122906,19,129,numeric
x575,276,-1,11972,19,2,numeric
x956,276,-1,61,4421,0,numeric
x112,276,-1.0,53.13,19,0,numeric
x950,274,-86.86,9810.62,161,0,numeric
x873,272,-1,5936,19,0,numeric
x193,271,-1.0,50.32,19,0,numeric
x482,270,-1,135922,23,758,numeric
x163,270,-1.0,100.0,131,0,numeric
x257,269,-1,30561,19,38,numeric
x44,269,-1.0,53.6,19,0,numeric
x550,268,-1,371,6115,0,numeric
x336,268,-1,278,7095,0,numeric
x383,267,-1,141,19,0,numeric
x205,267,-1.0,57.14,92,0,numeric
x212,266,-1.0,100.0,131,0,numeric
x88,264,-1.0,100.0,131,0,numeric
x120,264,-1.0,100.0,92,0,numeric
x31,263,-1.0,100.0,130,0,numeric
x63,263,-1.0,100.0,130,0,numeric
x10,263,-1.0,78.23,19,0,numeric
x200,263,-1.0,34.29,19,0,numeric
x111,262,-1.0,58.88,19,0,numeric
x191,262,-1.0,34.61,19,0,numeric
x362,261,0.0,620.0,0,0,numeric
x121,261,-1.0,37.04,92,0,numeric
x792,260,-1,14775,19,10,numeric
x1001,260,-1,99,19,0,numeric
x119,260,-1.0,56.37,92,0,numeric
x216,259,-1.0,66.67,131,0,numeric
x943,258,-1.0,49966.49,285,8,numeric
x947,258,-1.0,8313.53,285,0,numeric
x237,258,-1.0,50.0,131,0,numeric
x51,258,-1.0,28.57,92,0,numeric
x760,257,-1,12692,19,2,numeric
x144,257,-1.0,100.0,130,0,numeric
x379,256,-1,940,19,0,numeric
x214,256,-1.0,100.0,131,0,numeric
x110,256,-1.0,46.23,19,0,numeric
x210,255,-1.0,76.82,92,0,numeric
x1029,254,-1,87,19,0,numeric
x11,254,-1.0,78.1,19,0,numeric
x109,253,-1.0,41.13,19,0,numeric
x122,252,-1.0,66.67,92,0,numeric
x610,250,-1,5959,19,0,numeric
x226,250,-1.0,25.56,19,0,numeric
x399,249,-1,122,19,0,numeric
x62,249,-1.0,100.0,83,0,numeric
x87,248,-1.0,85.71,131,0,numeric
x271,247,-1,37681,19,43,numeric
x395,247,-1,279,19,0,numeric
x204,247,-1.0,72.57,92,0,numeric
x223,247,-1.0,30.21,19,0,numeric
x949,246,-1.0,7913.44,285,0,numeric
x878,246,-1,723,19,0,numeric
x17,244,-1.0,100.0,92,0,numeric
x424,244,-1,61,19,0,numeric
x38,243,-1.0,45.48,19,0,numeric
x167,243,-1.0,26.7,19,0,numeric
x20,242,-1.0,100.0,131,0,numeric
x231,242,-1.0,26.5,19,0,numeric
x184,241,-1.0,100.0,131,0,numeric
x366,240,-1.0,7748103.03,92,247,numeric
x305,240,-1,875860,19,2241,numeric
x185,240,-1.0,100.0,131,0,numeric
x18,240,-1.0,40.86,92,0,numeric
x168,240,-1.0,24.11,19,0,numeric
x977,239,-1,1776,19,0,numeric
x474,239,-1,736,20,0,numeric
x3,239,-1.0,48.99,19,0,numeric
x104,238,-1.0,100.0,130,0,numeric
x131,237,-1.0,42.86,131,0,numeric
x107,237,-1.0,31.87,19,0,numeric
x149,237,-1.0,23.53,19,0,numeric
x116,237,-1.0,20.38,19,0,numeric
x81,236,-1.0,100.0,92,0,numeric
x202,236,-1.0,10.8,19,0,numeric
x70,235,-1.0,45.41,19,0,numeric
x140,234,-1.0,100.0,130,0,numeric
x74,234,-1.0,35.13,19,0,numeric
x124,233,-1.0,100.0,131,0,numeric
x60,233,-1.0,100.0,83,0,numeric
x15,233,-1.0,68.0,92,0,numeric
x152,233,-1.0,40.65,19,0,numeric
x188,233,-1.0,21.39,19,0,numeric
x609,232,-1,4966,19,0,numeric
x84,232,-1.0,47.45,92,0,numeric
x181,231,-1.0,40.0,92,0,numeric
x132,230,-1.0,100.0,131,0,numeric
x164,229,-1.0,50.0,131,0,numeric
x230,229,-1.0,16.43,19,0,numeric
x240,228,-1.0,100.0,131,0,numeric
x957,228,-1,61,4421,0,numeric
x169,228,-1.0,29.61,19,0,numeric
x842,227,-1,35156,19,9,numeric
x953,227,-34.74,9987.8,144,0,numeric
x298,226,-1.0,101377.31,19,591,numeric
x473,226,-1,617,20,0,numeric
x71,226,-1.0,26.65,19,0,numeric
x713,225,-1,107453,19,6,numeric
x865,225,-1,20835,19,1,numeric
x46,225,-1.0,33.89,19,0,numeric
x698,224,-1,66452,19,7,numeric
x50,224,-1.0,14.29,92,0,numeric
x222,224,-1.0,14.08,19,0,numeric
x503,223,-1,284,83,0,numeric
x238,223,-1.0,100.0,131,0,numeric
x151,223,-1.0,26.09,19,0,numeric
x145,223,-1.0,20.91,19,0,numeric
x246,222,-1,199397,19,871,numeric
x652,222,-1,118,19,0,numeric
x217,222,-1.0,100.0,131,0,numeric
x141,222,-1.0,100.0,130,0,numeric
x1026,222,-1,97,19,0,numeric
x97,222,-1.0,28.57,83,0,numeric
x350,220,0.0,1060.0,0,0,numeric
x716,220,-1,129551,19,150,numeric
x530,220,-1,30046,19,19,numeric
x129,220,-1.0,66.67,131,0,numeric
x192,220,-1.0,32.22,19,0,numeric
x942,219,-1.0,3483648.0,285,172,numeric
x289,219,-1,361,907,0,numeric
x54,219,-1.0,100.0,131,0,numeric
x118,219,-1.0,79.38,92,0,numeric
x186,219,-1.0,34.85,19,0,numeric
x361,218,0.0,708502.0,0,9700,numeric
x90,217,-1.0,100.0,131,0,numeric
x19,217,-1.0,100.0,131,0,numeric
x477,216,-1,3400,20,0,numeric
x476,216,-1,2327,20,0,numeric
x354,215,0.0,379328.0,0,2026,numeric
x836,215,-1,677179,19,54,numeric
x272,215,-1,45269,19,33,numeric
x287,215,-1,33082,19,30,numeric
x689,213,-1,3359,19,0,numeric
x490,213,-1,120,19,0,numeric
x130,212,-1.0,100.0,131,0,numeric
x201,212,-1.0,14.92,19,0,numeric
x746,211,-1,14448,19,2,numeric
x683,210,-1,20357,19,4,numeric
x992,210,-1,616,19,0,numeric
x766,209,-1,249,19,0,numeric
x37,209,-1.0,18.95,19,0,numeric
x128,208,-1.0,100.0,131,0,numeric
x195,208,-1.0,25.42,19,0,numeric
x182,207,-1.0,72.45,92,0,numeric
x52,207,-1.0,46.1,92,0,numeric
x849,205,-1,76376,19,31,numeric
x133,205,-1.0,61.62,83,0,numeric
x146,205,-1.0,21.95,19,0,numeric
x400,204,-1,693,19,0,numeric
x21,204,-1.0,68.95,131,0,numeric
x1129,203,1,8,0,0,category
x750,202,-1,11385,19,1,numeric
